id,calories,proteins,fat,carbohydrate,name,kategori,protein_density,fat_ratio,pct_cal_from_fat,pct_cal_from_protein,pct_cal_from_carb,risiko_kolesterol,is_recommended
995,153.0,30.0,2.8,0.0,Pindang Ikan Layang,"Tinggi Protein, Rendah Lemak",0.1948,0.0182,16.36,77.92,0.0,0,1
996,142.0,27.0,3.0,0.0,Pindang Ikan Selar Kecil,"Tinggi Protein, Rendah Lemak",0.1888,0.021,18.88,75.52,0.0,0,1
997,124.0,9.5,9.6,0.0,Pindang Kenari Masakan,Sedang,0.076,0.0768,69.12,30.4,0.0,1,1
998,99.0,1.2,0.2,25.8,Pisang Ambon,Rendah Lemak,0.012,0.002,1.8,4.8,103.2,0,0
999,68.0,1.3,0.2,17.2,Pisang Angleng (Pisang Ampyang) Segar,Rendah Lemak,0.0188,0.0029,2.61,7.54,99.71,0,0
1000,120.0,1.1,0.2,26.8,Pisang Ayam Segar,Rendah Lemak,0.0091,0.0017,1.49,3.64,88.6,0,0
1001,127.0,2.1,0.3,31.1,Pisang Gapi Segar,Rendah Lemak,0.0164,0.0023,2.11,6.56,97.19,0,0
1002,220.0,2.3,2.3,6.3,Pisang Goreng,Rendah Lemak & Karbo,0.0104,0.0104,9.37,4.16,11.4,0,0
1003,115.0,1.9,0.2,27.9,Pisang Goroho Segar,Rendah Lemak,0.0164,0.0017,1.55,6.55,96.21,0,0
1004,117.0,2.0,0.3,28.9,Pisang Hijau Segar,Rendah Lemak,0.0169,0.0025,2.29,6.78,97.97,0,0
1005,100.0,1.4,0.5,23.6,Pisang Kayu Segar,Rendah Lemak,0.0139,0.005,4.46,5.54,93.47,0,0
1006,109.0,0.8,0.5,26.3,Pisang Kepok Segar,Rendah Lemak,0.0073,0.0045,4.09,2.91,95.64,0,0
1007,145.0,1.1,0.3,34.5,Pisang Ketip Segar,Rendah Lemak,0.0075,0.0021,1.85,3.01,94.52,0,0
1008,96.0,1.0,0.2,22.5,Pisang Kidang Segar,Rendah Lemak,0.0103,0.0021,1.86,4.12,92.78,0,0
1009,99.0,1.3,0.2,25.6,Pisang Lampung,Rendah Lemak,0.013,0.002,1.8,5.2,102.4,0,0
1010,127.0,1.4,0.2,33.6,Pisang Mas,Rendah Lemak,0.0109,0.0016,1.41,4.38,105.0,0,0
1011,127.0,1.4,0.2,31.8,Pisang Mas Bali,Rendah Lemak,0.0109,0.0016,1.41,4.38,99.38,0,0
1012,134.0,1.1,0.5,35.5,Pisang Oli,Rendah Lemak,0.0081,0.0037,3.33,3.26,105.19,0,0
1013,120.0,1.2,0.2,31.8,Pisang Raja,Rendah Lemak,0.0099,0.0017,1.49,3.97,105.12,0,0
1014,118.0,1.2,0.2,31.1,Pisang Raja Sere (Susu),Rendah Lemak,0.0101,0.0017,1.51,4.03,104.54,0,0
1015,98.0,1.3,1.2,20.5,Pisang Rotan Segar,Rendah Lemak,0.0131,0.0121,10.91,5.25,82.83,0,0
1016,625.0,1.0,0.0,8.1,Pisang Siam Goreng,Rendah Lemak & Karbo,0.0016,0.0,0.0,0.64,5.18,0,0
1017,113.0,1.2,0.2,26.7,Pisang Talas Segar,Rendah Lemak,0.0105,0.0018,1.58,4.21,93.68,0,0
1018,45.0,2.2,0.3,10.3,Prey (Bawang Daun),Rendah Lemak & Karbo,0.0478,0.0065,5.87,19.13,89.57,0,0
1019,33.0,4.5,0.4,2.8,Pucuk Lumai/Daun Leunca Segar,Rendah Lemak & Karbo,0.1324,0.0118,10.59,52.94,32.94,0,0
1020,216.0,2.6,3.1,44.4,Pulut,Sedang,0.012,0.0143,12.86,4.79,81.84,0,0
1021,224.0,26.2,11.3,4.4,Punai Daging Goreng,Sedang,0.1164,0.0502,45.2,46.58,7.82,1,0
1022,104.0,1.9,4.1,15.1,Pundut Nasi,Sedang,0.0181,0.039,35.14,7.24,57.52,0,0
1023,25.0,1.5,0.5,3.6,Purundawa,Rendah Lemak & Karbo,0.0577,0.0192,17.31,23.08,55.38,0,0
1024,76.0,4.1,1.1,15.2,Purut Segar,Rendah Lemak,0.0532,0.0143,12.86,21.3,78.96,0,0
1025,76.0,3.6,0.3,14.6,Putri Malu Segar,Rendah Lemak & Karbo,0.0468,0.0039,3.51,18.7,75.84,0,0
1026,163.0,2.2,6.5,23.8,Putri Selat,Sedang,0.0134,0.0396,35.67,5.37,58.05,0,0
1027,200.0,1.0,2.4,43.8,Putu Mayang,Rendah Lemak,0.005,0.0119,10.75,1.99,87.16,0,0
1028,136.0,43.0,2.4,3.0,Ragi,"Tinggi Protein, Rendah Lemak",0.3139,0.0175,15.77,125.55,8.76,0,1
1029,76.0,12.1,2.0,2.4,Rajungan Segar,"Tinggi Protein, Rendah Lemak",0.1571,0.026,23.38,62.86,12.47,0,1
1030,69.0,0.9,0.1,18.1,Rambutan,Rendah Lemak,0.0129,0.0014,1.29,5.14,103.43,0,0
1031,11.0,0.0,0.0,2.7,Rambutan Aceh,Rendah Lemak & Karbo,0.0,0.0,0.0,0.0,90.0,0,0
1032,76.0,0.5,0.2,18.0,Rambutan Binjai Segar,Rendah Lemak,0.0065,0.0026,2.34,2.6,93.51,0,0
1033,4.0,0.0,0.0,0.9,Rambutan Sinyonya,Rendah Lemak & Karbo,0.0,0.0,0.0,0.0,72.0,0,0
1034,295.0,7.3,8.5,47.5,Rarawuan,Sedang,0.0247,0.0287,25.84,9.86,64.19,1,1
1035,394.0,2.2,8.8,76.6,Rasbi (Beras Ubi),Sedang,0.0056,0.0223,20.05,2.23,77.57,1,0
1036,350.0,0.9,0.4,85.7,Rasi (Beras Singkong),Rendah Lemak,0.0026,0.0011,1.03,1.03,97.66,0,0
1037,60.0,5.4,2.5,4.0,Rawon Masakan,Rendah Lemak & Karbo,0.0885,0.041,36.89,35.41,26.23,0,1
1038,81.0,16.2,1.2,0.7,Rebon (Udang Kecil Segar),"Tinggi Protein, Rendah Lemak",0.1976,0.0146,13.17,79.02,3.41,0,1
